Date,Price
2021-12-03,22.445
2021-12-04,22.5235
2021-12-05,22.602
2021-12-06,22.228
2021-12-07,22.487
2021-12-08,22.39
2021-12-09,21.974
2021-12-10,22.16
2021-12-11,22.1975
2021-12-12,22.235
2021-12-13,22.29
2021-12-14,21.887
2021-12-15,21.508
2021-12-16,22.455
2021-12-17,22.507
2021-12-18,22.435
2021-12-19,22.363
2021-12-20,22.275
2021-12-21,22.502
2021-12-22,22.792
2021-12-23,22.94
2021-12-24,22.91
2021-12-25,22.894
2021-12-26,22.878
2021-12-27,22.979
2021-12-28,23.111
2021-12-29,22.848
2021-12-30,23.091
2021-12-31,23.381
2022-01-01,23.3545
2022-01-02,23.328
2022-01-03,22.84
2022-01-04,23.086
2022-01-05,23.202
2022-01-06,22.221
2022-01-07,22.443
2022-01-08,22.413
2022-01-09,22.383
2022-01-10,22.497
2022-01-11,22.848
2022-01-12,23.243
2022-01-13,23.199
2022-01-14,22.954
2022-01-15,22.961
2022-01-16,22.968
2022-01-17,23.043
2022-01-18,23.528
2022-01-19,24.267
2022-01-20,24.752
2022-01-21,24.357
2022-01-22,24.3485
2022-01-23,24.34
2022-01-24,23.837
2022-01-25,23.934
2022-01-26,23.846
2022-01-27,22.714
2022-01-28,22.34
2022-01-29,22.3765
2022-01-30,22.413
2022-01-31,22.432
2022-02-01,22.635
2022-02-02,22.748
2022-02-03,22.417
2022-02-04,22.517
2022-02-05,22.555
2022-02-06,22.593
2022-02-07,23.119
2022-02-08,23.243
2022-02-09,23.386
2022-02-10,23.569
2022-02-11,23.42
2022-02-12,23.535
2022-02-13,23.65
2022-02-14,23.897
2022-02-15,23.39
2022-02-16,23.654
2022-02-17,23.922
2022-02-18,24.038
2022-02-19,24.035
2022-02-20,24.032
2022-02-21,24.038
2022-02-22,24.356
2022-02-23,24.598
2022-02-24,24.71
2022-02-25,24.017
2022-02-26,24.2385
2022-02-27,24.46
2022-02-28,24.366
2022-03-01,25.541
2022-03-02,25.19
2022-03-03,25.212
2022-03-04,25.789
2022-03-05,26.012
2022-03-06,26.235
2022-03-07,25.72
2022-03-08,26.895
2022-03-09,25.816
2022-03-10,26.256
2022-03-11,26.16
2022-03-12,26.03
2022-03-13,25.9
2022-03-14,25.298
2022-03-15,25.158
2022-03-16,24.71
2022-03-17,25.616
2022-03-18,25.087
2022-03-19,25.067
2022-03-20,25.047
2022-03-21,25.313
2022-03-22,24.904
2022-03-23,25.189
2022-03-24,25.92
2022-03-25,25.615
