Date,Price
2021-03-26,60.97
2021-03-27,61.16666667
2021-03-28,61.36333333
2021-03-29,61.56
2021-03-30,60.55
2021-03-31,59.16
2021-04-01,61.45
2021-04-02,60.75
2021-04-03,60.05
2021-04-04,59.35
2021-04-05,58.65
2021-04-06,59.33
2021-04-07,59.77
2021-04-08,59.6
2021-04-09,59.32
2021-04-10,59.44666667
2021-04-11,59.57333333
2021-04-12,59.7
2021-04-13,60.18
2021-04-14,63.15
2021-04-15,63.46
2021-04-16,63.13
2021-04-17,63.21333333
2021-04-18,63.29666667
2021-04-19,63.38
2021-04-20,62.44
2021-04-21,61.35
2021-04-22,61.43
2021-04-23,62.14
2021-04-24,62.06333333
2021-04-25,61.98666667
2021-04-26,61.91
2021-04-27,62.94
2021-04-28,63.86
2021-04-29,65.01
2021-04-30,63.58
2021-05-01,63.88333333
2021-05-02,64.18666667
2021-05-03,64.49
2021-05-04,65.69
2021-05-05,65.63
2021-05-06,64.71
2021-05-07,64.9
2021-05-08,64.90666667
2021-05-09,64.91333333
2021-05-10,64.92
2021-05-11,65.28
2021-05-12,66.08
2021-05-13,63.82
2021-05-14,65.37
2021-05-15,65.67
2021-05-16,65.97
2021-05-17,66.27
2021-05-18,65.49
2021-05-19,63.36
2021-05-20,62.05
2021-05-21,63.58
2021-05-22,64.40333333
2021-05-23,65.22666667
2021-05-24,66.05
2021-05-25,66.07
2021-05-26,66.21
2021-05-27,66.85
2021-05-28,66.32
2021-05-29,66.455
2021-05-30,66.59
2021-05-31,66.96
2021-06-01,67.72
2021-06-02,68.83
2021-06-03,68.81
2021-06-04,69.62
2021-06-05,69.49
2021-06-06,69.36
2021-06-07,69.23
2021-06-08,70.05
2021-06-09,69.96
2021-06-10,70.29
2021-06-11,70.91
2021-06-12,70.9
2021-06-13,70.89
2021-06-14,70.88
2021-06-15,72.12
2021-06-16,72.15
2021-06-17,71.04
2021-06-18,71.64
2021-06-19,72.31333333
2021-06-20,72.98666667
2021-06-21,73.66
2021-06-22,73.06
2021-06-23,73.08
2021-06-24,73.3
2021-06-25,74.05
2021-06-26,73.67
2021-06-27,73.29
2021-06-28,72.91
2021-06-29,72.98
2021-06-30,73.47
2021-07-01,75.23
2021-07-02,75.16
2021-07-03,75.15
2021-07-04,75.14
2021-07-05,76.25
2021-07-06,73.37
2021-07-07,72.2
2021-07-08,72.94
2021-07-09,74.56
2021-07-10,74.40666667
2021-07-11,74.25333333
2021-07-12,74.1
2021-07-13,75.25
2021-07-14,73.13
2021-07-15,71.65
2021-07-16,71.81
2021-07-17,70.01333333
