Date,Price
2021-11-10,1852.0
2021-11-11,1867.7
2021-11-12,1872.2
2021-11-13,1871.733333
2021-11-14,1871.266667
2021-11-15,1870.8
2021-11-16,1858.3
2021-11-17,1874.4
2021-11-18,1865.7
2021-11-19,1856.1
2021-11-20,1841.066667
2021-11-21,1826.033333
2021-11-22,1811.0
2021-11-23,1788.1
2021-11-24,1788.8
2021-11-25,1792.4
2021-11-26,1789.9
2021-11-27,1788.966667
2021-11-28,1788.033333
2021-11-29,1787.1
2021-11-30,1778.3
2021-12-01,1786.3
2021-12-02,1764.7
2021-12-03,1785.8
2021-12-04,1784.366667
2021-12-05,1782.933333
2021-12-06,1781.5
2021-12-07,1786.8
2021-12-08,1787.6
2021-12-09,1778.9
2021-12-10,1787.0
2021-12-11,1788.2
2021-12-12,1789.4
2021-12-13,1790.6
2021-12-14,1774.7
2021-12-15,1766.9
2021-12-16,1800.7
2021-12-17,1807.3
2021-12-18,1803.833333
2021-12-19,1800.366667
2021-12-20,1796.9
2021-12-21,1791.1
2021-12-22,1804.6
2021-12-23,1814.0
2021-12-24,1810.1
2021-12-25,1810.433333
2021-12-26,1810.766667
2021-12-27,1811.1
2021-12-28,1813.3
2021-12-29,1808.2
2021-12-30,1816.6
2021-12-31,1831.0
2022-01-01,1821.466667
2022-01-02,1811.933333
2022-01-03,1802.4
2022-01-04,1817.0
2022-01-05,1827.5
2022-01-06,1791.5
2022-01-07,1799.9
2022-01-08,1800.366667
2022-01-09,1800.833333
2022-01-10,1801.3
2022-01-11,1821.0
2022-01-12,1829.8
2022-01-13,1823.9
2022-01-14,1819.0
2022-01-15,1817.375
2022-01-16,1815.75
2022-01-17,1819.05
2022-01-18,1814.9
2022-01-19,1845.5
2022-01-20,1844.9
2022-01-21,1834.1
2022-01-22,1837.466667
2022-01-23,1840.833333
2022-01-24,1844.2
2022-01-25,1855.0
2022-01-26,1832.0
2022-01-27,1795.0
2022-01-28,1786.6
2022-01-29,1789.866667
2022-01-30,1793.133333
2022-01-31,1796.4
2022-02-01,1801.5
2022-02-02,1810.3
2022-02-03,1804.1
2022-02-04,1807.8
2022-02-05,1812.466667
2022-02-06,1817.133333
2022-02-07,1821.8
2022-02-08,1827.9
2022-02-09,1836.6
2022-02-10,1837.4
2022-02-11,1842.1
2022-02-12,1851.2
2022-02-13,1860.3
2022-02-14,1869.4
2022-02-15,1856.2
2022-02-16,1871.5
2022-02-17,1902.0
2022-02-18,1899.8
2022-02-19,1903.9
2022-02-20,1908.0
2022-02-21,1912.05
2022-02-22,1907.4
2022-02-23,1910.4
2022-02-24,1926.3
2022-02-25,1887.6
2022-02-26,1891.966667
2022-02-27,1896.333333
2022-02-28,1900.7
2022-03-01,1943.8
2022-03-02,1922.3
2022-03-03,1935.9
2022-03-04,1966.6
2022-03-05,1976.366667
2022-03-06,1986.133333
2022-03-07,1995.9
2022-03-08,2043.3
2022-03-09,1988.2
2022-03-10,2000.4
2022-03-11,1985.0
2022-03-12,1976.933333
2022-03-13,1968.866667
2022-03-14,1960.8
2022-03-15,1929.7
2022-03-16,1909.2
2022-03-17,1943.2
2022-03-18,1929.3
2022-03-19,1929.366667
2022-03-20,1929.433333
2022-03-21,1929.5
2022-03-22,1921.5
2022-03-23,1937.3
2022-03-24,1962.2
2022-03-25,1954.2
